Location,Latitude,Longitude,,
Admiralty,1.4481,103.8185,,
Bedok,1.3236,103.9273,,
Bishan,1.3515,103.848,,
Bishan-AMK Park,1.3663,103.8356,,
Bukit Batok,1.3532,103.754,,
Bukit Brown,1.3319,103.8263,, 
Bukit Merah,1.2823,103.817,,
Bukit Timah,1.3547,103.7764,,
CBD,1.2801,103.85,,
CCNR,1.371,103.8206,,
Changi,1.3644,103.9915,,
Chinatown,1.2833,103.8448,,
Choa Chu Kang,1.3856,103.7443,,
Clementi,1.3151,103.7659,,
Dempsey Hill,1.302,103.8141,,
Dover,1.31,103.778,,
East Coast Park,1.3008,103.9123,,
Harbourfront,1.2644,103.8206,,
Jalan Besar,1.3064,103.8552,,
Jurong East,1.3331,103.7423,,
Jurong West,1.3396,103.7073,,
Jurong island,1.2667,103.7,,
Kallang,1.31,103.8667,,
Kent Ridge,1.2931,103.7817,,
Kranji,1.4255,103.7614,,
Kusu Island,1.2245,103.8643,,
Lazarus Island,1.2454,103.8482,,
Lim Chu Kang,1.44,103.715,,
Lorong Halus,1.38,103.898,,
MacRitchie Reservoir,1.344,103.8337,,
Mandai,1.4054,103.7926,,
Marina Bay,1.2829,103.8573,,
Marine Parade,1.3018,103.9073,,
Marsling,1.4325,103.7745,,
Mount Faber,1.2702,103.8141,,
Novena,1.3207,103.8434,,
One-North,1.2992,103.7876,,
Pasir Panjang,1.2751,103.7916,,
Pasir Ris,1.372,103.9474,,
Paya Lebar,1.3535,103.8872,,
Pulau Semakau,1.1929,103.7167,,
Pulau Tekong,1.4098,104.0406,,
Pulau Ubin,1.4044,103.9603,,
Punggol,1.4056,103.9024,,
Queenstown,1.2942,103.806,,
Seletar,1.409,103.8774,,
Sembawang,1.4489,103.8201,,
Sentosa,1.2494,103.8303,,
Serangoon,1.3636,103.8671,,
Sims Avenue,1.317,103.8881,,
Singapore,1.3521,103.8198,,
Singapore Botanical Gardnes,1.3138,103.8156,,
Singapore Straits,1.2751,103.8667,,
St. John's Island,1.2214,103.8635,,
Straits of Johor,1.39,103.74,,
Sungei Buloh,1.4478,103.7242,,
Sungei Tengah,1.3791,103.7165,,
Tampines,1.3546,103.9436,,
Tanah Merah,1.327,103.9473,,
Tanjong Katong,1.3056,103.9047,,
Tanjong Rhu,1.3008,103.8712,,
Telok Blangah,1.271,103.8096,,
Toa Payoh,1.3354,103.849,,
Tuas,1.3294,103.6394,,
Turf Club,1.4386,103.7551,,
Ulu Pandan,1.318,103.7844,,
Ulu Pandan,1.318,103.7844,,
West Coast,1.314,103.762,,
Western Catchment,1.38,103.71,,
Woodlands,1.4361,103.7868,,
Yishun,1.4294,103.8354,,